lat,lon,event_date,elevation,slope,aspect,ndvi,ndwi,landuse,distance_to_river,tpi,rain_3d,rain_7d,rain_30d,api,label,source_flag
51.41275384,-112.8029359,,972.9864879,4.596565569,198.3941806,-0.447964665,-0.034898561,6,5.882653505,-0.739729834,49.68697657,66.27980976,125.3073799,13.25596195,0,模拟
-38.74274956,-74.04806103,,259.2022091,14.06307696,88.23525909,0.875402845,0.176561983,1,3.674356244,-0.545869988,91.27461471,112.5773864,163.5950044,22.51547727,0,模拟
-8.407104337,-90.51524146,,657.4762731,13.72786748,336.4323336,0.575876037,-0.195016936,7,0.20710591,-0.872454433,28.22718117,39.14846929,68.97687084,7.829693857,0,模拟
53.40556776,-51.90423683,2011-10-19 13:23,837.7753555,18.4748023,254.7586648,0.337461706,-0.085064852,3,3.572070568,0.773533999,66.1574131,100.7025631,213.1740884,40.28102522,1,模拟
-11.86946596,136.6436099,,143.8223636,12.37268796,169.7561984,0.793588358,0.159475375,1,50,-1.113896626,21.26890203,39.06110694,50.99757604,7.812221388,0,模拟
43.35357721,-128.7473806,,195.7862527,22.26082428,154.3741234,0.413426294,0.096309072,3,27.49349834,-0.472139668,8.334598354,19.88269113,48.56936753,3.976538225,0,模拟
-10.79288835,35.33909545,,703.3873299,10.52148154,174.5614661,-0.28532363,0.400723327,0,1.599957877,0.035240871,45.68904807,61.78703473,72.07919687,12.35740695,0,模拟
-18.54273663,130.691342,,379.3416156,13.96792733,22.17517612,0.711657472,0.149866529,1,2.348751877,-1.313559198,100.8403664,116.5827785,141.6752911,23.31655571,0,模拟
14.61262968,-106.6484413,,293.4582489,8.510442301,114.9520635,0.65113186,-0.018493987,8,0.6184117,0.074819869,40.65740484,51.32647735,70.78218239,10.26529547,0,模拟
44.02914333,134.458011,,596.4087905,9.560770411,242.9060635,0.616704459,0.070306048,1,2.425297035,0.968186711,26.74100177,48.12081299,61.73978111,9.624162598,0,模拟
20.16984328,-170.579581,,607.3242325,17.60540336,113.5621451,-0.494012004,0.664974728,0,0.57594271,-2.739724817,31.45675396,53.19162812,80.18806616,10.63832562,0,模拟
-19.78292814,-66.09252604,,670.0513318,17.93718967,74.693052,-0.446560558,-0.089839909,6,0.582445628,-1.481806189,10.1347396,38.3267648,58.30614379,7.66535296,0,模拟
9.1407841,-178.9016029,,714.5289178,2.355840361,240.5180993,0.766060549,-0.049318781,1,3.117455856,0.685458989,41.86721503,67.58081697,81.79238609,13.51616339,0,模拟
-15.33479125,-54.46326985,,188.9256388,12.514073,180.2136029,-0.570257603,0.160081185,6,12.05713267,-0.497453196,23.57126843,51.59726835,75.53595493,10.31945367,0,模拟
44.38495761,-59.09658617,,430.5867661,15.07030117,207.8233257,-0.680939743,0.191936816,6,2.974422871,-0.937026856,120.2222849,141.5666082,172.3889275,28.31332163,0,模拟
-37.88001855,39.18885871,,438.2405403,6.568021265,218.5118747,0.688489193,0.036460025,1,10.83616181,-0.198968844,25.53420666,30.78624474,54.8283129,6.157248948,0,模拟
-8.450558102,45.38157342,,64.74579324,4.585359484,158.535054,0.121852077,-0.038526831,4,11.57756693,-0.690361092,54.06985866,69.7126828,88.41347745,13.94253656,0,模拟
57.91430231,99.96374282,,320.5440811,8.690030711,109.7291292,0.423050632,0.065115617,2,3.849154455,0.227760524,12.67065091,36.98908452,75.19745235,7.397816904,0,模拟
37.5666511,171.4449643,,20.71509287,8.794647173,86.19607583,0.503037877,-0.008939758,2,1.51789802,0.648190035,144.0008469,153.3891421,189.4351798,30.67782842,0,模拟
27.13801073,166.9726778,2017-9-22 19:26,869.8205683,35.44656225,152.4079197,0.592907551,-0.078624786,1,1.433395025,-1.235933521,126.8576732,204.5745029,364.4951157,81.82980115,1,模拟
2.711089576,-100.736131,,850.233488,6.207337377,165.336294,0.334281137,0.093605598,3,7.880382498,-0.89104159,30.88484272,48.77211266,94.95669282,9.754422532,0,模拟
17.76979976,89.70328361,,172.553353,13.1694251,190.9107027,0.309858992,0.14734395,2,1.562974057,1.830284566,78.2602095,102.0466696,153.468194,20.40933391,0,模拟
27.30662825,-159.4639778,,184.1039805,13.29358662,329.4023537,0.620355302,-0.078973341,1,3.86002106,-0.158977785,45.53802716,73.17044743,113.6387438,14.63408949,0,模拟
10.96644524,166.0431843,,44.77951413,7.16832633,256.9325762,0.117326629,-0.032268825,5,5.354596568,0.050969977,27.47667726,35.44640072,54.61000906,7.089280143,0,模拟
-53.91592659,132.4884504,,382.9671867,8.619684505,125.591075,0.677806627,-0.024383389,1,0.7371535,-1.436368669,15.48901293,39.0731249,79.48940923,7.81462498,0,模拟
52.88961344,10.88773221,,583.1523103,17.64965028,112.0493145,0.13851116,-0.061228573,4,0.986052211,0.44453254,74.24791586,85.12894599,142.568001,17.0257892,0,模拟
