lon,lat,elevation,aspect,tpi,distance_to_river,rain_3d,rain_7d,rain_30d,api,ndvi,ndwi,landuse,landuse_type,rain_ratio_3d_30d,rain_ratio_7d_30d,rain_intensity,valley_risk,elev_rain,aspect_rain,ndvi_elev,log_dist_river,threatened_people,threatened_households,threatened_property,exposure_index,has_rain,has_earthquake,has_human,danger_code,triggering_factor,hazard_type,danger_grade,label,lu_Built-up,lu_Cropland,lu_Grassland,lu_Moss and Lichen,lu_Permanent water bodies,lu_Trees
103.29,31.1166666666667,1606.0,358.0,-36.8281053952544,127.28,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,0.761019662327464,-0.688754496637297,10.0,Trees,0.11866001497492268,0.3633669338922616,0.3265569976051585,0.28709156061158714,5381.81670550289,27.516444937978914,1.2221975776979073,4.854215374824954,227.0,58.0,600.0,0.035660000000000004,1,1,0,0.0,地震-降雨,滑坡,中型,1,False,False,False,False,False,True
103.2925,31.1091666666667,1558.0,237.0,-110.804265997516,0.0,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,0.145994727936183,-0.15535749515487,80.0,Permanent water bodies,0.11866001497492268,0.3633669338922616,0.3265569976051585,110.804265997516,5220.965396745643,-14.995664971996591,0.22745978612457313,0.0,0.0,0.0,30.0,0.00015,1,0,0,0.0,降雨,泥石流,小型,1,False,False,False,False,True,False
103.2925,31.1155555555556,1580.0,162.0,-65.9347553325208,180.0,0.0,9.11534595489502,73.3814578056335,12.0101455138171,0.412695116464195,-0.425311438772927,50.0,Built-up,0.0,0.12421865449711804,0.0,0.3642804162017723,0.0,-0.0,0.652058284013428,5.198497031265826,41.0,10.0,200.0,0.0067800000000000004,1,1,0,0.0,地震-降雨,滑坡,小型,1,True,False,False,False,False,False
103.2925,31.1180555555556,1587.0,106.0,-74.7089084065512,0.0,26.5995149612427,85.2718906402588,201.251212120056,55.7208811818951,0.224437370174166,-0.243605268085638,10.0,Trees,0.13217070684798213,0.42370870583951037,0.31193767088313024,74.7089084065512,5265.345741337954,-7.331819969931644,0.35618210646640147,0.0,48.0,10.0,240.0,0.00754,1,1,0,0.0,地震-降雨,不稳定斜坡,小型,1,False,False,False,False,False,True
103.2925,31.1088888888889,1556.0,53.0,-115.213299874555,0.0,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,0.229377636001627,-0.224188287462426,80.0,Permanent water bodies,0.11866001497492268,0.3633669338922616,0.3265569976051585,115.213299874555,5214.263258880757,16.56990388515486,0.35691160161853164,0.0,0.0,0.0,20.0,0.0001,1,0,0,0.0,降雨,泥石流,小型,1,False,False,False,False,True,False
103.291388888889,31.1130555555556,1565.0,235.0,-75.8456712672766,0.0,0.0,9.11534595489502,73.3814578056335,12.0101455138171,0.576462171346807,-0.539978014458042,80.0,Permanent water bodies,0.0,0.12421865449711804,0.0,75.8456712672766,0.0,-0.0,0.902163298157753,0.0,10.0,3.0,60.0,0.0018499999999999999,1,1,0,0.0,地震-降雨,不稳定斜坡,小型,1,False,False,False,False,True,False
103.291388888889,31.1138888888889,1570.0,191.0,-67.7440401505871,0.0,0.0,12.2950859069824,215.065487384796,19.3196526500749,0.338670476693352,-0.326658920037861,30.0,Grassland,0.0,0.05716903281841914,0.0,67.7440401505871,0.0,-0.0,0.5317126484085626,0.0,5.0,1.0,20.0,0.00075,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,True,False,False,False
103.293888888889,31.1177777777778,1593.0,180.0,-81.5156838143295,0.0,0.0,0.0,6.48514461517334,1.15856258540111,0.650309830849104,-0.60170071519009,80.0,Permanent water bodies,0.0,0.0,0.0,81.5156838143295,0.0,-0.0,1.0359435605426226,0.0,0.0,0.0,50.0,0.00025,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,False,False,True,False
103.293888888889,31.1219444444444,1706.0,198.0,-25.3663739021596,127.28,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,0.733547209048718,-0.695125202264118,10.0,Trees,0.11866001497492268,0.3633669338922616,0.3265569976051585,0.19774223497162147,5716.923598747155,-26.18564585148189,1.2514315386371129,4.854215374824954,0.0,0.0,10.0,5e-05,1,0,0,0.0,降雨,泥石流,小型,1,False,False,False,False,False,True
103.293888888889,31.1202777777778,1670.0,69.0,-22.3500627352841,180.0,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,0.847280102679491,-0.753548561773303,10.0,Trees,0.11866001497492268,0.3633669338922616,0.3265569976051585,0.12348100958720498,5596.285117179219,9.86702267481513,1.4149577714747499,5.198497031265826,0.0,0.0,20.0,0.0001,1,0,0,0.0,降雨,泥石流,小型,1,False,False,False,False,False,True
103.295277777778,31.1208333333333,1622.0,112.0,-82.629861982459,90.0,27.5351028442383,27.5351028442383,130.236973762512,46.0199274434166,0.456137525665284,-0.435372709835307,60.0,Bare / Sparse vegetation,0.21142308552358188,0.21142308552358188,0.9999999996368272,0.9080204613457034,5435.540983180048,-10.314831075836901,0.7398550666290906,4.51085950651685,0.0,0.0,20.0,0.0001,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,False,False,False,False
103.2975,31.1233333333333,1643.0,180.0,-106.460476787982,90.0,0.0,9.11534595489502,73.3814578056335,12.0101455138171,0.356629874908021,-0.379861090321229,10.0,Trees,0.0,0.12421865449711804,0.0,1.1698953493184836,0.0,-0.0,0.5859428844738785,4.51085950651685,0.0,0.0,10.0,5e-05,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,False,False,False,True
103.296388888889,31.1233333333333,1675.0,292.0,-68.5746549561149,127.28,0.0,60.689338684082,256.355581760406,50.5967693080239,0.854962250298601,-0.769741828579195,10.0,Trees,0.0,0.2367389009630999,0.0,0.5345701197077869,0.0,0.0,1.4320617692501567,4.854215374824954,38.0,10.0,180.0,0.0064399999999999995,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,False,False,False,True
103.295,31.1194444444444,1606.0,256.0,-91.8845671267508,0.0,0.0,9.11534595489502,73.3814578056335,12.0101455138171,0.329283339751499,-0.355054757536672,30.0,Grassland,0.0,0.12421865449711804,0.0,91.8845671267508,0.0,-0.0,0.5288290436409073,0.0,23.0,6.0,120.0,0.00394,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,True,False,False,False
103.291388888889,31.1169444444444,1576.0,147.0,-65.3174404015294,90.0,0.0,0.0,114.517491817474,7.50528006328799,0.145811430367536,-0.166109621981755,80.0,Permanent water bodies,0.0,0.0,0.0,0.7177740703464769,0.0,-0.0,0.22979881425923673,4.51085950651685,392.0,73.0,7000.0,0.08461,1,0,0,0.0,降雨,泥石流,大型,1,False,False,False,False,True,False
103.286388888889,31.1183333333333,1586.0,181.0,-116.033877038919,0.0,13.0602893829346,54.0037593841553,298.94212770462,62.650685154718,0.267497839772868,-0.235292702293015,30.0,Grassland,0.0436883536046896,0.1806495451042921,0.2418403742526874,116.033877038919,4192.360186520396,-13.058300237602648,0.4242515738797687,0.0,0.0,0.0,20.0,0.0001,1,1,0,0.0,地震-降雨,滑坡,小型,1,False,False,True,False,False,False
