id,discovery_date,location,threat_target,hazard_type,triggering_factor,disaster_type,development_trend,lon,lat,elevation,aspect,disaster_scale,scale_grade,danger_grade,threatened_property,threatened_households,threatened_people,industry_transferred,industry,rain_3d,rain_7d,rain_30d,api,landuse,landuse_type,ndvi,ndwi,data_source,tpi,distance_to_river
1,2008-05-12,汶川县耿达镇幸福村1组耿达场镇后山,聚集区,崩塌,地震-降雨,崩塌,,103.313055555556,31.0888888888889,1532.0,297.0,1500m3,小型,小型,260.0,13.0,53.0,否,,0.0,15.2150478363037,81.4182205200195,15.8117654481224,10.0,Trees,,,Landsat 7,-65.0727728983915,254.56
2,2013-07-10,汶川县耿达镇龙潭村4组走马林,聚集区,滑坡,地震-降雨,滑坡,,103.29,31.1166666666667,1606.0,358.0,117500m3,中型,中型,600.0,58.0,227.0,否,,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,10.0,Trees,0.761019662327464,-0.688754496637297,Landsat 7,-36.8281053952544,127.28
3,2013-07-10,汶川县耿达镇龙潭村1组雷家坡,公路,泥石流,降雨,泥石流,,103.2925,31.1091666666667,1558.0,237.0,3700m3,小型,小型,30.0,0.0,0.0,是,交通运输,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,80.0,Permanent water bodies,0.145994727936183,-0.15535749515487,Landsat 7,-110.804265997516,0.0
4,2008-05-12,汶川县耿达镇龙潭村1组龙潭村委会,聚集区,滑坡,地震-降雨,滑坡,,103.2925,31.1155555555556,1580.0,162.0,29900m3,小型,小型,200.0,10.0,41.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,50.0,Built-up,0.412695116464195,-0.425311438772927,Landsat 7,-65.9347553325208,180.0
5,2011-08-20,汶川县耿达镇龙潭村1组胡金良房后,聚集区,不稳定斜坡,地震-降雨,不稳定,滑坡,103.2925,31.1180555555556,1587.0,106.0,30600m3,小型,小型,240.0,10.0,48.0,否,,26.5995149612427,85.2718906402588,201.251212120056,55.7208811818951,10.0,Trees,0.224437370174166,-0.243605268085638,Landsat 7,-74.7089084065512,0.0
6,2013-07-10,汶川县耿达镇龙潭村1组雷家坡槽沟,公路,泥石流,降雨,泥石流,,103.2925,31.1088888888889,1556.0,53.0,800m3,小型,小型,20.0,0.0,0.0,是,交通运输,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,80.0,Permanent water bodies,0.229377636001627,-0.224188287462426,Landsat 7,-115.213299874555,0.0
7,2008-05-12,汶川县耿达镇龙潭村1组核桃坡,分散农户,不稳定斜坡,地震-降雨,不稳定斜坡,滑坡,103.291388888889,31.1130555555556,1565.0,235.0,31000m3,小型,小型,60.0,3.0,10.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.576462171346807,-0.539978014458042,Landsat 7,-75.8456712672766,0.0
8,2011-07-24,汶川县耿达镇龙潭村1组贾学文后山,分散农户,滑坡,地震-降雨,滑坡,,103.291388888889,31.1138888888889,1570.0,191.0,23400m3,小型,小型,20.0,1.0,5.0,否,,0.0,12.2950859069824,215.065487384796,19.3196526500749,30.0,Grassland,0.338670476693352,-0.326658920037861,Landsat 7,-67.7440401505871,0.0
9,2011-01-01,汶川县耿达镇龙潭村1组山王庙聚居点对岸,河道,滑坡,地震-降雨,滑坡,,103.293888888889,31.1177777777778,1593.0,180.0,30300m3,小型,小型,50.0,0.0,0.0,是,水利（务）,0.0,0.0,6.48514461517334,1.15856258540111,80.0,Permanent water bodies,0.650309830849104,-0.60170071519009,Landsat 7,-81.5156838143295,0.0
10,2013-07-10,汶川县耿达镇龙潭村1组贾家沟水厂坡面,河道,泥石流,降雨,泥石流,,103.293888888889,31.1219444444444,1706.0,198.0,8000m3,小型,小型,10.0,0.0,0.0,是,水利（务）,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,10.0,Trees,0.733547209048718,-0.695125202264118,Landsat 7,-25.3663739021596,127.28
11,2013-07-10,汶川县耿达镇龙潭村1组贾家沟,河道,泥石流,降雨,泥石流,,103.293888888889,31.1202777777778,1670.0,69.0,514000m3,巨型,小型,20.0,0.0,0.0,是,水利（务）,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,10.0,Trees,0.847280102679491,-0.753548561773303,Landsat 7,-22.3500627352841,180.0
12,2011-07-01,汶川县耿达镇龙潭村1组仓旺电站对面,河道,滑坡,地震-降雨,滑坡,,103.295277777778,31.1208333333333,1622.0,112.0,56900m3,小型,小型,20.0,0.0,0.0,是,水利（务）,27.5351028442383,27.5351028442383,130.236973762512,46.0199274434166,60.0,Bare / Sparse vegetation,0.456137525665284,-0.435372709835307,Landsat 7,-82.629861982459,90.0
13,2008-05-12,汶川县耿达镇龙潭村2组罗家坡,公路,滑坡,地震-降雨,滑坡,,103.2975,31.1233333333333,1643.0,180.0,22900m3,小型,小型,10.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.356629874908021,-0.379861090321229,Landsat 7,-106.460476787982,90.0
14,2013-07-20,汶川县耿达镇龙潭村1组刘家房基聚居点,聚集区,滑坡,地震-降雨,滑坡,,103.296388888889,31.1233333333333,1675.0,292.0,50000m3,小型,小型,180.0,10.0,38.0,否,,0.0,60.689338684082,256.355581760406,50.5967693080239,10.0,Trees,0.854962250298601,-0.769741828579195,Landsat 7,-68.5746549561149,127.28
15,2008-05-12,汶川县耿达镇龙潭村1组油坊坡,分散农户,滑坡,地震-降雨,滑坡,,103.295,31.1194444444444,1606.0,256.0,34000m3,小型,小型,120.0,6.0,23.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,30.0,Grassland,0.329283339751499,-0.355054757536672,Landsat 7,-91.8845671267508,0.0
16,2013-08-20,汶川县耿达镇龙潭村1组仓旺沟,聚集区,泥石流,降雨,泥石流,,103.291388888889,31.1169444444444,1576.0,147.0,9000m3,小型,大型,7000.0,73.0,392.0,否,,0.0,0.0,114.517491817474,7.50528006328799,80.0,Permanent water bodies,0.145811430367536,-0.166109621981755,Landsat 7,-65.3174404015294,90.0
17,2011-07-13,汶川县耿达镇龙潭村6组喇嘛地,公路,滑坡,地震-降雨,滑坡,,103.286388888889,31.1183333333333,1586.0,181.0,98100m3,小型,小型,20.0,0.0,0.0,是,交通运输,13.0602893829346,54.0037593841553,298.94212770462,62.650685154718,30.0,Grassland,0.267497839772868,-0.235292702293015,Landsat 7,-116.033877038919,0.0
18,2008-05-12,汶川县耿达镇龙潭村5组黄家沟,分散农户,泥石流,降雨,泥石流,,103.278888888889,31.1216666666667,1598.0,125.0,5000m3,小型,小型,20.0,1.0,4.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,50.0,Built-up,0.209467917017216,-0.214539609927982,Landsat 7,-109.828105395258,0.0
19,2008-05-12,汶川县耿达镇龙潭村7组崔家河坝,聚集区,滑坡,地震-降雨,滑坡群,,103.28,31.1208333333333,1598.0,102.0,111500m3,中型,小型,140.0,5.0,24.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.483698763799402,-0.497647614241295,Landsat 7,-114.538268506926,90.0
20,2013-07-10,汶川县耿达镇龙潭村5组乌龟包,公路,泥石流,降雨,泥石流,,103.272777777778,31.1225,1611.0,124.0,85000m3,中型,小型,10.0,0.0,0.0,是,交通运输,27.5332174301147,84.3136653900146,232.034501552582,58.7409815699345,10.0,Trees,0.208691641469789,-0.212793747107523,Landsat 7,-137.956085319975,0.0
21,2008-05-12,汶川县耿达镇龙潭村5组上河坝,聚集区,不稳定斜坡,地震-降雨,不稳定斜坡,滑坡,103.270833333333,31.1230555555556,1632.0,84.0,64400m3,小型,小型,230.0,9.0,46.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.653053291698519,-0.619921912198838,Landsat 7,-122.775407779197,90.0
22,2008-05-12,汶川县耿达镇龙潭村7组龙潭电站闸门下游右岸,河道,崩塌,地震-降雨,崩塌,,103.261666666667,31.1219444444444,1697.0,210.0,1000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.325474087766139,-0.316354142587128,Landsat 7,-140.949811794255,90.0
23,2008-05-12,汶川县耿达镇龙潭村7组龙潭电站大坝,公路,崩塌,地震-降雨,崩塌,,103.261666666667,31.1227777777778,1679.0,102.0,33700m3,中型,小型,100.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.514316716872348,-0.486510548321966,Landsat 7,-145.651191969914,0.0
24,2008-05-12,汶川县耿达镇龙潭村7组龙潭大坝下游左岸,公路,滑坡,地震-降雨,滑坡,,103.265,31.1222222222222,1630.0,241.0,71600m3,小型,小型,50.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.326808808109053,-0.331929824561404,Landsat 7,-169.404015056486,90.0
25,2008-05-12,汶川县耿达镇龙潭村7组龙潭电站大坝,公路,滑坡,地震-降雨,滑坡,,103.261388888889,31.1222222222222,1670.0,105.0,88000m3,小型,小型,30.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.149812176272981,-0.115692791881433,Landsat 7,-160.575909661256,90.0
26,2013-07-01,汶川县耿达镇龙潭村7组窑子沟,聚集区,泥石流,降雨,泥石流,,103.256666666667,31.1227777777778,1644.0,147.0,22000m3,中型,小型,160.0,8.0,38.0,否,,10.6665410995483,15.9998116493225,197.564382076263,40.2269916098638,10.0,Trees,0.349604711625192,-0.372724679469882,Landsat 7,-142.229611041432,0.0
27,2008-05-12,汶川县耿达镇龙潭村7组正河桥下游左岸2#,分散农户,崩塌,地震-降雨,崩塌,,103.255555555556,31.1227777777778,1664.0,39.0,1000m3,小型,小型,20.0,1.0,4.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.669550428347541,-0.623978015367368,Landsat 7,-121.292346298646,90.0
28,2008-05-12,汶川县耿达镇龙潭村7组正河桥头下游左岸1#,公路,滑坡,地震-降雨,滑坡,,103.255,31.1225,1671.0,125.0,8000m3,小型,小型,10.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.604248450943112,-0.580468676306109,Landsat 7,-112.909661229638,90.0
29,2008-05-12,汶川县耿达镇龙潭村7组正河桥桥头左岸拐弯处,公路,崩塌,地震-降雨,崩塌,,103.254166666667,31.1222222222222,1668.0,268.0,1000m3,小型,小型,10.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.365452000243455,-0.343858838429218,Landsat 7,-114.168130489362,0.0
30,2008-05-12,汶川县耿达镇龙潭村7组正河沟沟口左岸,分散农户,崩塌,地震-降雨,崩塌,,103.251666666667,31.1219444444444,1698.0,250.0,1200m3,小型,小型,80.0,4.0,20.0,否,,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.803499542121728,-0.743730835967769,Landsat 7,-80.208281053982,90.0
31,2013-07-10,汶川县耿达镇龙潭村7组蜂桶槽,分散农户,泥石流,降雨,泥石流,,103.248888888889,31.1208333333333,1663.0,335.0,3000m3,小型,小型,50.0,4.0,19.0,否,,28.3975553512573,87.9472303390503,237.507882118225,61.2731369657771,30.0,Grassland,0.21745216090808,-0.261348060152168,Landsat 7,-122.324968632399,90.0
32,2008-05-12,汶川县耿达镇龙潭村7组蜂桶槽,分散农户,滑坡,地震-降雨,滑坡,,103.247777777778,31.1219444444444,1730.0,115.0,28000m3,小型,小型,80.0,4.0,19.0,否,,0.0,16.158848285675,94.6068110466003,16.9607366566668,10.0,Trees,0.783373063170441,-0.700226128654705,Landsat 7,-115.484316185725,180.0
33,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸1号,河道,滑坡,地震-降雨,滑坡,,103.253055555556,31.0988888888889,1739.0,163.0,15000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,0.0,40.737958908081,2.19041061216463,10.0,Trees,0.184785721103369,-0.241349653986159,Landsat 7,-152.003764115461,0.0
34,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸1#,河道,崩塌,地震-降雨,崩塌,,103.254166666667,31.0988888888889,1762.0,32.0,2000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,0.0,40.737958908081,2.19041061216463,10.0,Trees,0.669140191068651,-0.61989201869836,Landsat 7,-128.595984943566,90.0
35,2008-05-12,汶川县耿达镇龙潭村7组中桥下游左岸1#,河道,崩塌,地震-降雨,崩塌,,103.254166666667,31.1013888888889,1787.0,316.0,2000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,30.0,Grassland,0.241718596261069,-0.255941246394707,Landsat 7,-115.37766624846,127.28
36,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸2#,河道,崩塌,地震-降雨,崩塌,,103.255277777778,31.1,1775.0,199.0,1200m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,0.0,40.737958908081,2.19041061216463,10.0,Trees,0.611839448411721,-0.557338358172025,Landsat 7,-112.499372647456,127.28
37,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸3#,河道,崩塌,地震-降雨,崩塌,,103.256666666667,31.1030555555556,1706.0,199.0,1500m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,60.0,Bare / Sparse vegetation,0.159203707558643,-0.213153851445869,Landsat 7,-149.515683814333,90.0
38,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸4#,河道,崩塌,地震-降雨,崩塌,,103.2575,31.1055555555556,1717.0,61.0,1000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.609169160522013,-0.573002194024112,Landsat 7,-149.936010037668,0.0
39,2008-05-12,汶川县耿达镇龙潭村7组中桥下游左岸2#,河道,崩塌,地震-降雨,崩塌,,103.256666666667,31.1041666666667,1698.0,115.0,1500m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.336043454193191,-0.340635306370422,Landsat 7,-159.304893350091,90.0
40,2016-10-14,汶川县耿达镇龙潭村7组下游左岸1#,河道,泥石流,降雨,泥石流,,103.252777777778,31.1116666666667,1680.0,125.0,30000m3,中型,小型,0.0,0.0,0.0,是,水利（务）,,,,,30.0,Grassland,0.643125207706835,-0.59367605091235,Landsat 7,-246.352572145576,90.0
41,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸5#,河道,崩塌,地震-降雨,崩塌,,103.255555555556,31.1077777777778,1724.0,182.0,1500m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,10.0,Trees,0.452288280976186,-0.422557097427002,Landsat 7,-185.416562107934,90.0
42,2008-05-12,汶川县耿达镇龙潭村7组中桥下游左岸3#,河道,崩塌,地震-降雨,崩塌,,103.255555555556,31.1080555555556,1741.0,173.0,1000m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,60.0,Bare / Sparse vegetation,0.43263265674878,-0.400942364324779,Landsat 7,-166.818067754106,90.0
43,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸6#,河道,滑坡,地震-降雨,滑坡,,103.254166666667,31.1105555555556,1798.0,170.0,7500m3,小型,小型,0.0,0.0,0.0,是,水利（务）,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.5494791444489,-0.524865032786748,Landsat 7,-114.815558343819,0.0
44,2008-05-12,汶川县耿达镇龙潭村7组中桥下游右岸7#,公路,崩塌,地震-降雨,崩塌,,103.250555555556,31.1152777777778,1666.0,327.0,30000m3,中型,小型,20.0,0.0,0.0,是,交通运输,0.0,9.11534595489502,73.3814578056335,12.0101455138171,80.0,Permanent water bodies,0.336625415274056,-0.349889512842865,Landsat 7,-189.865746549589,90.0
